                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.35009,                 0.4704,                0.81029,                0.97888,                 0.9867,                  0.995,                0.99384,                0.10316,                0.17076,                0.75606,                0.00604,                0.00604,                0.00604
                     62,                0.35572,                0.47909,                0.80975,                0.97989,                0.98892,                  0.995,                0.99414,                0.10239,                0.16876,                0.75556,               0.005974,               0.005974,               0.005974
                     63,                0.34875,                 0.4696,                0.80633,                0.98027,                0.98886,                  0.995,                0.99352,                0.10089,                0.16787,                0.75586,               0.005908,               0.005908,               0.005908
                     64,                0.34987,                0.46808,                0.80968,                0.98083,                 0.9872,                  0.995,                0.99439,                0.09787,                0.16384,                0.75562,               0.005842,               0.005842,               0.005842
                     65,                0.34973,                0.46405,                0.80512,                0.97858,                0.98681,                 0.9938,                0.99349,                 0.0961,                0.16473,                0.75496,               0.005776,               0.005776,               0.005776
                     66,                0.34942,                0.47298,                0.80737,                0.97906,                0.98693,                  0.995,                0.99404,                0.09702,                0.16722,                0.75508,                0.00571,                0.00571,                0.00571
                     67,                0.33395,                 0.4562,                0.80595,                0.98149,                0.98818,                  0.995,                0.99272,                0.09789,                0.16517,                0.75537,               0.005644,               0.005644,               0.005644
                     68,                0.34177,                0.45459,                0.80392,                0.98096,                0.98895,                  0.995,                0.99357,                0.09518,                0.15919,                 0.7551,               0.005578,               0.005578,               0.005578
                     69,                 0.3346,                0.45277,                0.80822,                0.97955,                0.98754,                  0.995,                0.99428,                0.09282,                0.15832,                0.75493,               0.005512,               0.005512,               0.005512
                     70,                0.34256,                0.45314,                 0.8086,                0.97997,                0.99016,                  0.995,                0.99443,                0.09045,                0.15651,                0.75504,               0.005446,               0.005446,               0.005446
                     71,                0.34209,                0.45288,                0.80322,                0.98101,                0.98847,                  0.995,                0.99404,                0.09384,                0.15996,                0.75456,                0.00538,                0.00538,                0.00538
                     72,                 0.3306,                 0.4402,                 0.8069,                0.98115,                0.98752,                  0.995,                0.99416,                 0.0928,                0.15616,                0.75451,               0.005314,               0.005314,               0.005314
                     73,                0.34038,                0.44338,                0.80654,                0.97757,                0.99005,                  0.995,                0.99462,                0.09044,                0.15378,                0.75429,               0.005248,               0.005248,               0.005248
                     74,                0.33331,                0.44797,                0.80492,                0.98002,                0.98959,                  0.995,                 0.9945,                0.08995,                0.15255,                0.75419,               0.005182,               0.005182,               0.005182
                     75,                 0.3433,                0.44538,                0.80562,                0.98109,                0.98868,                  0.995,                0.99469,                0.09072,                0.15237,                0.75427,               0.005116,               0.005116,               0.005116
                     76,                 0.3269,                0.43759,                0.80549,                0.98105,                0.99039,                  0.995,                0.99469,                0.08914,                0.14951,                0.75387,                0.00505,                0.00505,                0.00505
                     77,                0.33639,                0.44138,                0.80275,                0.98113,                0.98895,                  0.995,                  0.995,                0.09049,                0.15139,                0.75382,               0.004984,               0.004984,               0.004984
                     78,                0.33409,                0.42935,                0.80335,                0.98095,                0.99049,                  0.995,                0.99469,                0.09058,                0.15231,                0.75361,               0.004918,               0.004918,               0.004918
                     79,                 0.3247,                0.42643,                0.80238,                0.98103,                0.99073,                  0.995,                0.99469,                0.08901,                 0.1506,                0.75384,               0.004852,               0.004852,               0.004852
                     80,                0.32535,                 0.4285,                0.80387,                0.97928,                0.99089,                  0.995,                0.99469,                0.08918,                0.14883,                 0.7541,               0.004786,               0.004786,               0.004786
                     81,                0.31904,                 0.4289,                0.80138,                0.97841,                0.99223,                  0.995,                0.99469,                0.08733,                0.14727,                0.75395,                0.00472,                0.00472,                0.00472
                     82,                0.32626,                0.42051,                0.80588,                0.98201,                0.98926,                  0.995,                0.99437,                0.08578,                0.14207,                0.75388,               0.004654,               0.004654,               0.004654
                     83,                0.32404,                0.41787,                 0.8025,                 0.9816,                0.98864,                  0.995,                0.99438,                0.08585,                0.14356,                0.75387,               0.004588,               0.004588,               0.004588
                     84,                0.32366,                0.42362,                0.80279,                0.98057,                0.98964,                  0.995,                0.99426,                0.08577,                0.14559,                0.75362,               0.004522,               0.004522,               0.004522
                     85,                0.32437,                0.41758,                0.80334,                0.98044,                0.99141,                  0.995,                0.99424,                0.08515,                0.14307,                0.75351,               0.004456,               0.004456,               0.004456
                     86,                0.31487,                0.42149,                0.80141,                 0.9808,                 0.9913,                  0.995,                0.99488,                0.08444,                0.14477,                0.75365,                0.00439,                0.00439,                0.00439
                     87,                0.31805,                0.41885,                 0.8001,                 0.9789,                0.99255,                  0.995,                0.99455,                0.08275,                0.14138,                 0.7536,               0.004324,               0.004324,               0.004324
                     88,                0.30901,                0.41228,                0.80176,                0.98146,                0.99229,                  0.995,                0.99455,                0.08254,                0.14007,                0.75354,               0.004258,               0.004258,               0.004258
                     89,                0.31672,                0.41955,                0.80073,                0.97914,                0.99295,                  0.995,                0.99403,                0.08282,                0.13944,                0.75343,               0.004192,               0.004192,               0.004192
                     90,                0.30857,                0.40832,                0.80143,                0.98008,                0.99154,                  0.995,                0.99466,                0.08256,                0.13897,                0.75331,               0.004126,               0.004126,               0.004126
                     91,                 0.3176,                0.41665,                0.79951,                 0.9815,                0.99006,                  0.995,                0.99403,                0.08347,                0.13749,                0.75333,                0.00406,                0.00406,                0.00406
                     92,                0.31771,                0.41033,                0.80116,                0.98167,                0.98976,                  0.995,                0.99376,                0.08294,                 0.1367,                0.75321,               0.003994,               0.003994,               0.003994
                     93,                0.30579,                0.40158,                0.79806,                0.98108,                0.99021,                  0.995,                0.99437,                0.08324,                0.13668,                 0.7532,               0.003928,               0.003928,               0.003928
                     94,                0.31127,                0.39702,                0.80157,                0.98141,                0.98966,                  0.995,                0.99428,                0.08309,                0.13603,                0.75315,               0.003862,               0.003862,               0.003862
                     95,                0.30425,                0.39926,                0.79845,                0.98034,                0.98984,                  0.995,                0.99469,                0.08234,                0.13717,                0.75311,               0.003796,               0.003796,               0.003796
                     96,                 0.3042,                0.40431,                0.80004,                0.98161,                0.99035,                  0.995,                0.99473,                0.08195,                0.13625,                0.75309,                0.00373,                0.00373,                0.00373
                     97,                0.30296,                0.40344,                0.79979,                0.98114,                0.98995,                  0.995,                  0.995,                0.08199,                0.13614,                0.75305,               0.003664,               0.003664,               0.003664
                     98,                0.30643,                 0.3963,                0.79934,                0.98049,                0.99012,                  0.995,                  0.995,                0.08117,                0.13589,                0.75295,               0.003598,               0.003598,               0.003598
                     99,                 0.3075,                0.39205,                0.80059,                0.98028,                 0.9896,                  0.995,                  0.995,                0.08034,                0.13341,                0.75283,               0.003532,               0.003532,               0.003532
